genero_pedido,humor,acompanhado,duracao_preferida,disposicao,genero_recomendado
acao,animado,amigos,medio,curtir,acao
acao,animado,amigos,longo,curtir,acao
acao,entediado,sozinho,medio,curtir,acao
acao,animado,sozinho,curto,curtir,acao
acao,curioso,amigos,longo,pensar,acao
acao,animado,amigos,longo,pensar,acao
acao,entediado,amigos,medio,curtir,acao
comedia,animado,amigos,curto,curtir,comedia
comedia,entediado,sozinho,curto,curtir,comedia
comedia,animado,familia,medio,curtir,comedia
comedia,calmo,amigos,curto,curtir,comedia
comedia,entediado,amigos,curto,curtir,comedia
comedia,animado,casal,curto,curtir,comedia
comedia,calmo,familia,curto,curtir,comedia
drama,calmo,sozinho,longo,pensar,drama
drama,curioso,sozinho,longo,pensar,drama
drama,calmo,casal,longo,pensar,drama
drama,curioso,casal,medio,pensar,drama
drama,calmo,sozinho,medio,pensar,drama
drama,romantico,casal,longo,pensar,drama
drama,curioso,sozinho,longo,pensar,drama
terror,assustado,amigos,medio,curtir,terror
terror,animado,amigos,medio,curtir,terror
terror,curioso,amigos,medio,curtir,terror
terror,assustado,sozinho,medio,curtir,terror
terror,animado,sozinho,longo,curtir,terror
terror,curioso,sozinho,longo,pensar,terror
terror,assustado,amigos,longo,curtir,terror
romance,romantico,casal,medio,curtir,romance
romance,calmo,casal,medio,curtir,romance
romance,romantico,sozinho,medio,curtir,romance
romance,calmo,sozinho,longo,pensar,romance
romance,romantico,casal,longo,pensar,romance
romance,calmo,casal,curto,curtir,romance
romance,romantico,casal,longo,curtir,romance
ficcao_cientifica,curioso,sozinho,longo,pensar,ficcao_cientifica
ficcao_cientifica,curioso,amigos,longo,pensar,ficcao_cientifica
ficcao_cientifica,animado,sozinho,longo,pensar,ficcao_cientifica
ficcao_cientifica,curioso,sozinho,medio,pensar,ficcao_cientifica
ficcao_cientifica,animado,amigos,longo,curtir,ficcao_cientifica
ficcao_cientifica,curioso,casal,longo,pensar,ficcao_cientifica
ficcao_cientifica,curioso,sozinho,longo,pensar,ficcao_cientifica
animacao,animado,familia,medio,curtir,animacao
animacao,calmo,familia,medio,curtir,animacao
animacao,animado,amigos,curto,curtir,animacao
animacao,entediado,familia,curto,curtir,animacao
animacao,calmo,sozinho,medio,curtir,animacao
animacao,animado,familia,longo,curtir,animacao
animacao,calmo,familia,curto,curtir,animacao
suspense,curioso,sozinho,longo,pensar,suspense
suspense,curioso,amigos,longo,pensar,suspense
suspense,calmo,sozinho,longo,pensar,suspense
suspense,curioso,casal,medio,pensar,suspense
suspense,animado,amigos,medio,pensar,suspense
suspense,curioso,sozinho,medio,pensar,suspense
suspense,calmo,sozinho,longo,pensar,suspense
acao,animado,familia,medio,curtir,animacao
comedia,entediado,familia,curto,curtir,animacao
terror,curioso,amigos,longo,pensar,suspense
drama,romantico,casal,longo,pensar,romance
acao,animado,amigos,curto,curtir,comedia
ficcao_cientifica,curioso,sozinho,longo,pensar,suspense
suspense,curioso,casal,longo,pensar,drama
comedia,curioso,amigos,medio,curtir,comedia
acao,animado,sozinho,medio,curtir,acao
drama,triste,sozinho,longo,pensar,drama
terror,animado,casal,medio,curtir,terror
romance,romantico,amigos,medio,curtir,romance
romance,calmo,sozinho,curto,curtir,romance
ficcao_cientifica,animado,casal,longo,curtir,ficcao_cientifica
animacao,entediado,sozinho,curto,curtir,animacao
animacao,animado,casal,medio,curtir,animacao
suspense,animado,sozinho,longo,pensar,suspense
aventura,animado,amigos,longo,curtir,aventura
aventura,animado,sozinho,longo,curtir,aventura
aventura,curioso,amigos,medio,curtir,aventura
aventura,animado,familia,longo,curtir,aventura
aventura,entediado,amigos,longo,curtir,aventura
aventura,curioso,sozinho,medio,curtir,aventura
aventura,animado,amigos,medio,curtir,aventura
aventura,entediado,familia,longo,curtir,animacao
aventura,curioso,sozinho,longo,pensar,ficcao_cientifica
cinema_tv,calmo,sozinho,curto,pensar,cinema_tv
cinema_tv,curioso,sozinho,curto,pensar,cinema_tv
cinema_tv,entediado,sozinho,curto,curtir,cinema_tv
cinema_tv,calmo,sozinho,medio,pensar,cinema_tv
cinema_tv,curioso,amigos,curto,pensar,cinema_tv
cinema_tv,calmo,casal,curto,pensar,cinema_tv
cinema_tv,entediado,sozinho,medio,curtir,cinema_tv
cinema_tv,calmo,sozinho,curto,pensar,suspense
cinema_tv,curioso,sozinho,longo,pensar,drama
crime,curioso,sozinho,longo,pensar,crime
crime,curioso,amigos,longo,pensar,crime
crime,animado,amigos,longo,pensar,crime
crime,curioso,sozinho,medio,pensar,crime
crime,animado,sozinho,longo,curtir,crime
crime,curioso,casal,longo,pensar,crime
crime,animado,amigos,medio,curtir,crime
crime,animado,amigos,longo,curtir,acao
crime,curioso,amigos,longo,pensar,suspense
documentario,curioso,sozinho,longo,pensar,documentario
documentario,calmo,sozinho,longo,pensar,documentario
documentario,curioso,casal,medio,pensar,documentario
documentario,calmo,sozinho,medio,pensar,documentario
documentario,curioso,amigos,longo,pensar,documentario
documentario,calmo,casal,longo,pensar,documentario
documentario,curioso,sozinho,medio,pensar,documentario
documentario,curioso,sozinho,longo,pensar,historia
documentario,calmo,casal,longo,pensar,drama
familia,animado,familia,medio,curtir,familia
familia,calmo,familia,medio,curtir,familia
familia,entediado,familia,curto,curtir,familia
familia,animado,familia,curto,curtir,familia
familia,calmo,familia,longo,curtir,familia
familia,animado,familia,longo,curtir,familia
familia,calmo,familia,curto,curtir,familia
familia,animado,familia,medio,curtir,animacao
familia,calmo,familia,curto,curtir,animacao
fantasia,curioso,sozinho,longo,pensar,fantasia
fantasia,animado,amigos,longo,curtir,fantasia
fantasia,curioso,familia,longo,pensar,fantasia
fantasia,animado,sozinho,longo,pensar,fantasia
fantasia,curioso,amigos,longo,pensar,fantasia
fantasia,animado,familia,longo,curtir,fantasia
fantasia,curioso,casal,longo,pensar,fantasia
fantasia,animado,familia,longo,curtir,animacao
fantasia,curioso,sozinho,longo,pensar,ficcao_cientifica
faroeste,animado,sozinho,longo,curtir,faroeste
faroeste,curioso,amigos,longo,curtir,faroeste
faroeste,animado,amigos,medio,curtir,faroeste
faroeste,curioso,sozinho,medio,pensar,faroeste
faroeste,animado,sozinho,medio,curtir,faroeste
faroeste,curioso,amigos,medio,curtir,faroeste
faroeste,animado,sozinho,longo,pensar,faroeste
faroeste,curioso,sozinho,longo,pensar,historia
faroeste,animado,amigos,longo,curtir,acao
guerra,animado,amigos,longo,curtir,guerra
guerra,curioso,sozinho,longo,pensar,guerra
guerra,animado,sozinho,longo,curtir,guerra
guerra,curioso,amigos,longo,pensar,guerra
guerra,animado,amigos,medio,curtir,guerra
guerra,curioso,casal,longo,pensar,guerra
guerra,animado,sozinho,medio,curtir,guerra
guerra,curioso,sozinho,longo,pensar,historia
guerra,animado,amigos,longo,curtir,acao
historia,curioso,sozinho,longo,pensar,historia
historia,calmo,sozinho,longo,pensar,historia
historia,curioso,casal,longo,pensar,historia
historia,curioso,sozinho,medio,pensar,historia
historia,calmo,casal,longo,pensar,historia
historia,curioso,amigos,longo,pensar,historia
historia,calmo,sozinho,medio,pensar,historia
historia,romantico,casal,longo,pensar,drama
historia,curioso,amigos,longo,pensar,documentario
misterio,curioso,sozinho,longo,pensar,misterio
misterio,curioso,casal,medio,pensar,misterio
misterio,calmo,sozinho,longo,pensar,misterio
misterio,curioso,amigos,longo,pensar,misterio
misterio,curioso,sozinho,medio,pensar,misterio
misterio,calmo,casal,longo,pensar,misterio
misterio,animado,amigos,medio,pensar,misterio
